ticker_symbol,period_ending,accounts_payable,accounts_receivable,add'l_income/expense_items,after_tax_roe,capital_expenditures,capital_surplus,cash_ratio,cash_and_cash_equivalents,changes_in_inventories,common_stocks,cost_of_revenue,current_ratio,deferred_asset_charges,deferred_liability_charges,depreciation,earnings_before_interest_and_tax,earnings_before_tax,effect_of_exchange_rate,equity_earnings/loss_unconsolidated_subsidiary,fixed_assets,goodwill,gross_margin,gross_profit,income_tax,intangible_assets,interest_expense,inventory,investments,liabilities,long-term_debt,long-term_investments,minority_interest,misc._stocks,net_borrowings,net_cash_flow,net_cash_flow-operating,net_cash_flows-financing,net_cash_flows-investing,net_income,net_income_adjustments,net_income_applicable_to_common_shareholders,net_income-cont._operations,net_receivables,non-recurring_items,operating_income,operating_margin,other_assets,other_current_assets,other_current_liabilities,other_equity,other_financing_activities,other_investing_activities,other_liabilities,other_operating_activities,other_operating_items,pre-tax_margin,pre-tax_roe,profit_margin,quick_ratio,research_and_development,retained_earnings,sale_and_purchase_of_stock,"sales,_general_and_admin.",short-term_debt_/_current_portion_of_long-term_debt,short-term_investments,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_&_equity,total_revenue,treasury_stock,for_year,earnings_per_share,estimated_shares_outstanding,year,symbol,price_year,yearly_price,security,sec_filings,gics_sector,gics_sub_industry,address_of_headquarters,date_first_added,cik,pe_ratio
AAL,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,AAL,2012,,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,
AAL,12/31/2013,0.621577575,-0.581081081,0.388577257,1.913043478,0.649364407,1.256017039,0.41509434,0.635338346,,-0.960629921,0.049528527,0.333333333,,3.192825112,0.018981019,-0.269718698,-0.108384458,,,0.437024325,,0.017241379,0.095291167,-0.391915641,1.659378596,0.35443038,0.744827586,-4.859477124,-1.496828753,1.157532322,,,,-3.164705882,2.350253807,-0.474708171,6.865424431,1.427753024,-0.02238806,-0.086341463,-0.02238806,0.099167483,0.387900356,0.448186528,8.452702703,4,0.060913706,1.340255591,0.632404951,-0.318120805,0.133863486,42.72727273,-0.015316564,-0.602836879,0.009467456,-0.2,1.580645161,-0.125,0.333333333,,0.193827943,,-0.004931802,0.019027484,1.377198124,0.798298596,1.025311086,0.5321274,-0.658069363,0.808243944,1.501064837,0.075960571,-1,0.000497018,1.008928571,-0.513366501,2013,AAL,2013,0.732818142,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,-0.137441636
AAL,12/31/2014,-0.061708543,0.720430108,-0.944913698,1.134328358,0.705523443,0.42890861,-0.2,-0.187126437,,0.4,0.417551502,-0.153846154,,-0.113368984,0.315686275,-4.09592145,-2.473394495,,,0.198608443,0.001223691,0.06779661,0.719028237,-1.953757225,-0.030722631,0.036214953,-0.007905138,-2.523285351,3.365957447,0.044942357,,,,-0.923007246,-1.221212121,3.562962963,-1.082916557,-0.236759308,-2.571428571,-0.710624666,-2.571428571,-1.642013812,0.13525641,0.431127013,2.037169407,1,-0.103958243,-0.387030717,-0.044143534,1.243602362,-0.522501461,0.249480249,-0.267314784,7.928571429,0.518171161,0,0.9875,0,-0.166666667,,-0.242032578,,0.601951522,0.159751037,-0.222167427,0.022399357,-0.179641137,-0.029117775,-1.74002197,-0.084538648,0.022399357,0.594809857,,0.000496771,-1.357333333,3.397654584,2014,AAL,2014,1.140080641,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,-6.989031644
AAL,12/31/2015,0.092973436,-3.2,3.72,-0.055944056,0.158162305,-0.234159234,-0.15,-0.386312217,,-0.142857143,-0.289628681,-0.170454545,,-0.195416164,0.10804769,0.340814833,0.437110834,,,0.191734535,0,0.158730159,0.105956345,-10.07272727,0.004017857,-0.00789177,-0.140438247,-0.753752084,-0.383040936,0.142554385,,,,15.8,3.136986301,1.028896104,2.996825397,0.9216764,1.640527412,-5.911439114,1.640527412,1.640527412,-0.195369848,0.31375,0.460108261,0.5,0.020873786,-0.167037862,-0.111488879,0.037946918,-0.88249694,-0.81031614,-0.06863104,-1.19,0.053281853,0.375,-0.48427673,1.714285714,-0.1625,,-0.856341976,2.655893536,0.028473364,0.330351819,-0.070534158,0.120069404,-0.150212766,0.014995524,1.788223652,0.038248714,0.120069404,-0.038921454,,0.000496524,1.833333333,-0.068049149,2015,AAL,2015,0.159246433,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,-0.5908542
AAP,12/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,AAP,2012,,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,
AAP,12/28/2013,0.082917575,-0.637603093,3.496666667,-0.1875,-0.278134242,0.021295041,0.739130435,0.859974152,-0.218153808,0,0.0433545,0.161290323,,,0.096288988,0.007753281,0.003723917,,,-0.005038888,1.616018013,0,0.049744419,-0.007461803,0.728965159,0.082060223,0.10740147,,-0.594872902,0.741498624,,,,1.511645862,-0.047851761,-0.204340993,1.589514256,0.326506165,0.010545051,-1.089571447,0.010545051,0.010545051,0.207638363,,0.004568586,-0.090909091,0.245531367,-0.101923804,0.033913264,0.380952381,-0.187766799,91.62249443,-0.033072408,0.340679411,,0,-0.211538462,0,0.529411765,,0.523446636,3.149677419,0.061910804,0.46092504,,0.206111473,0.252868538,0.08014688,0.252343697,0.189663897,0.206111473,0.046544861,2.981915483,0.000497018,0.013232514,-0.002652366,2013,AAP,2013,0.120093912,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,0.10546582
AAP,1/3/2015,0.385859249,0.486647342,0.146034099,-0.038461538,0.166987643,0.059575413,-0.925,-0.905911255,0.118636156,0,0.662800756,-0.097222222,,,0.370066652,0.289263004,0.247440126,,,0.113524215,3.981239523,-0.1,0.369438211,0.225575349,14.00090231,1.004697143,0.539944151,,0.124528848,0.554441666,,,,0.34540555,-2.959328097,0.300304448,0.738772466,5.319228847,0.260535841,-37.2059387,0.260535841,0.260535841,1.088744394,,0.289848225,-0.1,0.153547378,1.796683894,-0.755571364,-4.349714906,-0.337020839,11.38227232,-0.037851122,-6.765325584,,-0.2,-0.048780488,-0.166666667,-0.576923077,,0.437263569,-1.01844942,0.38971529,-0.364628821,,0.430850202,0.188414051,0.321772217,0.321003426,0.471988251,0.430850202,0.515882808,0.047770878,0.000496771,0.259328358,0.000958831,2015,AAP,2015,0.92051352,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,0.525029995
AAP,1/2/2016,0.039005951,-0.554523014,-3.420439845,-0.24,0.027582011,0.071742355,-0.333333333,-0.132691959,0.072209508,0,-0.014099908,0,,-0.027839077,-0.053450559,-0.042706966,-0.036480956,-0.05643897,,0.001778594,-0.005969304,0,-0.006924939,-0.028094127,-0.081537176,-0.108979948,0.060405313,,-0.100688384,-0.258599985,,,,-1.710988144,-0.986218496,-0.027290896,-1.774341869,-0.889274581,-0.041364856,-0.599857139,-0.041364856,-0.041364856,0.030980037,,-0.030444635,-0.111111111,0.806699171,-0.352716387,0.052862737,2.571289617,-0.25206497,-0.990960733,0.031416391,-1.116930784,,0,-0.205128205,0,-0.090909091,,0.291141675,-2.047050562,-0.001363446,0.027491409,,0.021627638,0.042122825,0.039147431,0.228535253,-0.047912004,0.021627638,-0.01085377,0.058959343,0.000496524,-0.044444444,0.003222825,2016,AAP,2016,-0.049858009,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,-0.005665359
AAPL,9/28/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,AAPL,2013,,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",11/30/1982,320193,
AAPL,9/27/2014,0.343041714,2.310415598,-0.152249135,0.166666667,0.172198408,,-0.569892473,-0.029104425,-0.921891059,0.179568913,0.053017654,-0.357142857,,0.154666667,0.175965665,0.066354302,0.066354302,,,0.242634211,1.927076728,0.026315789,0.096930207,0.065177619,-0.008853793,,0.196712018,-0.624532069,0.611538462,0.709139151,0.225457798,,,0.08108428,-1.11813265,0.112678418,1.2925087,-0.331467993,0.066771067,0.535061874,0.066771067,0.066771067,0.308915083,,0.071511664,0,-0.268558103,0.424876489,0.142030935,-3.297239915,0.070240296,1.540523293,0.228523357,-0.84537037,,0,0.170731707,0,-0.359756098,0.349944134,-0.164057704,0.982534707,0.107386888,,-0.57267851,0.119995169,-0.064882788,0.453296074,-0.097143643,0.441468646,0.119995169,0.069539524,,0.000496771,-0.837871596,5.579791341,2014,AAPL,2014,0.366493687,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",11/30/1982,320193,7.428465685
